gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G18240	0.148357	0.0992452	0.126622	0.0893638
AT1G18250	15.5071	13.4963	64.4717	9.75405
AT1G18260	19.3617	34.9674	24.2602	26.2814
AT1G18265	4.65102	1.35498	2.59569	5.9976
AT1G18270	17.1862	60.5533	20.1566	16.3595
AT1G18310	0.00300267	0.00582204	0.0146414	0
AT1G18330	40.9415	17.5805	10.3758	25.9247
AT1G18335,AT1G18340	17.5328	16.5429	20.0276	18.1409
AT1G18360	27.1864	3.78728	14.9346	18.8898
AT1G18370	8.73955	8.54393	14.6224	4.51973
AT1G18382	1.16381	9.62289	0.279734	0.13887
AT1G18410	0.161015	0.600138	2.366	0.466973
AT1G18415	3.5989	5.87295	6.38035	4.96953
AT1G18470	28.4725	53.662	25.3852	16.3212
AT1G18540	198.61	365.468	338.108	235.421
AT1G18550	3.89868	3.68713	6.91285	6.70689
AT1G18640	21.0024	25.7771	26.9947	29.9004
AT1G18650	53.1023	5.16892	66.1534	42.6562
AT1G18670	8.75141	12.5977	7.67614	4.65321
AT1G18680	7.02513	5.41654	5.67567	6.17654
AT1G18720	60.81	125.012	136.381	139.471
AT1G18735	1.64265	0.0487196	0.841599	0.700807
AT1G18760	0	0	0.00801533	0.391722
AT1G18770	0	0	0.0330495	0.714436
AT1G18780	0	0	0.206503	0
AT1G18790	0	0	0.00762237	0.00805438
AT1G18800	16.9224	37.1535	34.1934	23.8009
AT1G18810	16.9099	0.0843726	6.99579	0.648057
AT1G18835	1.3077	3.66059	0.169419	0.0278064
AT1G18840	14.127	20.7469	27.8758	30.2239
AT1G18850	5.71311	14.8073	12.228	8.21875
AT1G18871	0	0	0	0
AT1G18890	12.4447	23.7924	9.59298	12.701
AT1G18910	2.70085	28.4757	2.1843	0.870064
AT1G18970	0.0810566	16.1293	0.0143546	0.0153627
AT1G18980	0.383252	51.3303	0.00792512	0.120068
AT1G18990	0.669876	0.652763	15.6746	1.9083
AT1G19000	157.235	110.337	85.9158	64.7734
AT1G19050	16.0143	15.8695	14.7864	22.9054
AT1G19060	0	0.00738678	0.276402	0.357539
AT1G19130	26.8499	46.7177	30.375	41.7493
AT1G19140	10.7047	18.7075	27.6078	21.4777
AT1G19160	0.195848	0.0128077	0.20675	2.17434
AT1G19200	2.23287	1.47086	1.94087	1.50568
AT1G19210	0.157557	0.407719	0.437232	0.328884
AT1G19220	7.60012	15.6458	6.96175	4.41112
AT1G19240	6.91324	14.8287	10.9351	8.7692
AT1G19250	0.0649992	1.75474	0.009352	0
AT1G19260	0	0.00138346	0.00552843	0.00433428
AT1G19300	3.9108	8.1831	8.51494	38.7764
AT1G19310	20.9241	29.4856	12.6441	17.6939
AT1G19330	14.6467	14.5976	31.0944	27.1098
AT1G19360	16.1554	66.0832	23.0071	30.1336
AT1G19370	8.89861	23.4138	5.66825	11.0457
AT1G19371	0.400052	0	0	0.124098
AT1G19390	0.0210489	0.194066	0.00448131	0.0373242
AT1G19400	73.2554	51.4925	29.2876	36.6488
AT1G19410	0.0536662	0.0170175	0.0172101	0.233953
AT1G19430	10.6628	17.4361	13.2376	18.672
AT1G19450	34.9581	46.2875	43.0983	66.11
AT1G19490	1.77504	2.99466	5.0499	2.63046
AT1G19500	0.0112284	0.0336215	15.3929	1.84739
AT1G19510	3.09914	0.0442647	6.53647	0.396571
AT1G19550	14.3779	34.2787	95.8903	71.362
AT1G19560	0.144718	0.190531	0.19024	0.23571
AT1G19570	131.156	287.524	813.446	645.13
AT1G19610	5.55311	0.646395	0.443312	0.427315
AT1G19630	0.155874	0.0227171	1.15521	1.36004
AT1G19640	0.123971	0.0286169	19.0356	13.5496
AT1G19650	12.837	2.94416	24.462	8.4722
AT1G19660	137.693	77.6737	86.4318	91.3356
AT1G19670	18.9109	0.0392849	61.3946	74.9455
AT1G19690	8.56356	8.28885	7.98621	8.60793
AT1G19700	19.5519	21.3085	20.1111	36.1202
AT1G19715,AT1G19720	72.6441	9.42686	45.5085	37.7407
AT1G19730	15.7613	16.5783	29.7491	18.8619
AT1G19780	0.114268	0.00717657	2.13905	0.0601206
AT1G19790	0.37594	1.8398	3.36106	0.1821
AT1G19810	0	0	0.0531803	0.0287561
AT1G19835	26.9121	38.553	33.0677	44.7746
AT1G19840	2.18056	11.8195	7.01672	6.6638
AT1G19860	7.91354	9.72617	13.0242	10.0075
AT1G19870	26.1281	47.2838	46.7541	38.4354
AT1G19880	23.918	35.5931	34.4179	22.0711
AT1G19900	0.00890852	17.1772	0.046573	0.994721
AT1G19920	54.6874	47.6347	96.589	70.6097
AT1G19940	0.932218	1.39348	6.01563	35.1968
AT1G19970	6.41744	5.30762	29.2227	32.4074
AT1G20000	0.580571	0.728791	1.3969	0.875226
AT1G20010	169.836	84.1395	78.7617	93.7725
AT1G20040	0	0	0	0
AT1G20060	3.05514	4.31837	4.71292	2.85601
AT1G20070	6.80192	17.4035	16.3326	17.7957
AT1G20100	40.0968	66.1592	55.5532	27.687
AT1G20150	0.00972158	0.157644	18.1957	0.0047946
AT1G20160	6.34885	48.9438	10.0949	7.67722
AT1G20170	0	0	0	0
AT1G20190	51.4978	35.7836	64.2448	35.2862
AT1G20200	30.5344	50.0698	52.8345	43.4824
AT1G20220	29.8376	51.8701	48.0199	29.474
AT1G20225	27.8294	44.2364	30.4784	34.5134
AT1G20240	0	0	0.00334738	2.89288
AT1G20270	7.12635	10.1895	14.9812	18.929
AT1G20290	0	0.00432096	0.00876231	0.209685
AT1G20320	0	0	0.441702	0.145529
