gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G02750	12.0048	14.1496	9.20132	10.7496
AT1G02760	0	0	0	0
AT1G02810	0.231871	36.3368	4.50571	1.5395
AT1G02813	0.0288997	0.281494	47.2958	0.373343
AT1G02816	13.1502	22.2535	26.0091	25.5864
AT1G02840	72.1938	120.446	90.0457	56.1536
AT1G02850	18.7015	17.346	22.3476	1.94335
AT1G02860	10.7787	32.095	5.95272	9.0912
AT1G02952	0.271569	0.680629	0.324967	0.340076
AT1G02970	1.7079	2.58645	2.91732	3.19191
AT1G02980	0.0326787	0.473162	2.81734	19.1948
AT1G03010	0.285502	4.0368	0.831012	2.88174
AT1G03022	0	0	0	0
AT1G03030	10.8726	15.6599	16.0238	15.9297
AT1G03050	0	0.00514159	37.9595	3.18209
AT1G03070	0.659196	4.36163	4.78321	3.45722
AT1G03090	44.0563	45.2557	19.8075	18.1542
AT1G03103	0	0	0.0464039	0.0357673
AT1G03110	6.63777	13.5363	13.2759	6.67947
AT1G03120	0.752469	0.366213	4.03759	1.06399
AT1G03150	18.7473	17.8233	18.4335	16.5825
AT1G03160	24.8612	5.9859	17.9296	17.297
AT1G03170	0.222305	0.143511	31.9252	13.9189
AT1G03180	2.66625	4.782	6.05632	2.79677
AT1G03190	5.13414	6.65228	7.94826	6.31946
AT1G03200,AT1G03210	19.8752	67.2981	23.4659	17.5008
AT1G03220	53.48	332.73	14.3877	37.013
AT1G03230	18.3895	56.4793	8.24135	1.46823
AT1G03270	2.35167	2.12033	5.49402	5.12778
AT1G03280	20.6637	25.3423	21.3035	16.6165
AT1G03290	12.9238	25.0061	30.0303	25.2212
AT1G03310	20.6923	4.08584	17.5149	25.4826
AT1G03320	0.230005	0.0228541	0.268891	0.18999
AT1G03340	2.39011	2.65123	1.90136	0.772015
AT1G03360,AT1G03370	21.0332	37.9578	29.1265	20.6696
AT1G03380	20.687	32.3979	9.79266	12.5916
AT1G03420	11.6159	13.6857	10.9153	12.5978
AT1G03430	15.8623	19.5601	14.3981	9.63014
AT1G03440	15.087	4.16057	8.49205	5.88863
AT1G03490	0.0304896	0.00388529	0.262345	0.00409232
AT1G03495	2.32052	2.97515	2.89332	2.09778
AT1G03515	0	0	0	0
AT1G03540	1.63607	3.18669	2.72257	1.80604
AT1G03570	0	0	0	0
AT1G03580	2.98566	2.1616	0.0980252	0.308807
AT1G03600	399.44	6.40452	156.773	211.663
AT1G03610	62.4434	50.3446	27.6695	18.8906
AT1G03630	130.864	1.87415	82.1177	123.696
AT1G03687	8.99276	9.55705	10.1148	8.13464
AT1G03700	0.125082	6.00392	0.95847	0.137191
AT1G03710	0.159817	0.0184672	19.8608	22.1047
AT1G03740	16.7738	42.5145	4.71078	6.4157
AT1G03750	3.05943	6.01568	4.59092	3.88951
AT1G03770	2.3297	6.93581	5.30019	4.48293
AT1G03790	0.0730238	0.504791	1.07263	0.0238218
AT1G03810	0	0	0.167026	0
AT1G03880	0.0208606	3.55123	0.00587503	0.0214794
AT1G03890	0	0.150437	0	0.0267757
AT1G03900	28.3387	85.5856	44.2357	48.3114
AT1G03905	1.55907	10.6421	4.19898	5.86133
AT1G03910	22.7099	33.373	30.294	21.7417
AT1G03920	0.786402	5.11262	6.02633	7.44917
AT1G03930	21.3685	12.3806	15.0653	17.0132
AT1G03935	0	0	0	0
AT1G03960	7.04725	8.16971	8.61224	7.39651
AT1G03970	11.1288	14.5336	12.0661	17.388
AT1G03990	0.884749	1.02287	1.21079	1.29819
AT1G04020	4.50644	5.71625	6.69978	7.19261
AT1G04030	3.53461	12.492	8.64993	10.9843
AT1G04080	42.7543	47.8842	48.331	36.3858
AT1G04090,AT1G04100	2.77353	5.07047	6.83579	5.79722
AT1G04130	3.63442	7.55768	12.8044	11.6485
AT1G04160	2.75561	5.25839	6.64661	5.54917
AT1G04170	46.6578	74.2447	65.7197	54.3223
AT1G04180	0.195279	5.26251	0.045146	0.0672657
AT1G04200	11.4719	26.6887	18.0805	23.1134
AT1G04210	19.6962	25.9554	24.4734	15.6767
AT1G04230	7.07593	11.2267	11.9087	11.4686
AT1G04250	14.6523	82.7977	20.5799	45.1244
AT1G04295	3.88764	3.68118	9.36509	6.19338
AT1G04320	0	0	0	0
AT1G04350	49.801	4.2315	28.8949	26.0854
AT1G04370	0	0.0169343	0.0330934	0
AT1G04420	86.1958	4.87077	38.0934	56.4646
AT1G04425	15.1868	12.4649	11.0732	9.05605
AT1G04430	49.2619	73.5132	47.2722	72.785
AT1G04440	38.9727	85.3648	29.77	33.0003
AT1G04445	0.011671	0.869995	0.209912	3.17499
AT1G04450	0	0.00609448	7.43746	0.22804
AT1G04480	123.852	214.674	209.123	156.39
AT1G04501	0	0	0	0
AT1G04510	29.3633	41.9658	39.3831	29.7514
AT1G04520	10.6092	16.1604	27.7586	8.65974
AT1G04540	0.652405	2.86613	30.2425	7.36667
AT1G04550	19.1348	15.4632	30.795	18.9327
AT1G04555	4.50013	9.50421	8.85516	11.4433
AT1G04560	0.0754268	3.83921	0.116389	0.37853
AT1G04600	0.135325	0.50592	3.29608	0.821833
AT1G04610	0.534987	14.1577	1.84998	0.978732
AT1G04635	1.79838	3.77156	3.88905	2.54058
AT1G04640	33.4598	8.16337	15.1014	17.8409
AT1G04670	0	0.0938132	16.116	0.0157009
AT1G04690	55.9588	73.9362	77.8171	88.7668
AT1G04700	0.647151	2.65371	6.30106	1.51342
AT1G04710	9.64937	5.17344	17.2878	16.0784
AT1G04720	0	0	0	0
AT1G04760	1.98088	1.77666	5.46074	1.76231
AT1G04778	0.206866	1.10009	0.87697	0.227804
AT1G04790	13.6616	13.9679	15.7407	11.3609
AT1G04810	18.7062	36.4222	21.6362	22.5198
AT1G04900	4.42826	12.7608	9.97226	7.00549
AT1G04940	68.0639	18.3816	58.1181	52.9903
AT1G04945	2.95881	6.04614	5.9498	4.04514
AT1G04970	21.7727	30.9085	30.1341	22.114
AT1G05000	4.8682	30.2448	3.93029	2.83885
AT1G05080	0.00544397	0.00524433	0.573348	0.283532
AT1G05085	0	0	0	0
AT1G05090	8.68751	12.1127	9.94187	8.47165
AT1G05100	0.16799	0.568584	4.41524	1.09302
AT1G05136	0.113734	0	0	0
AT1G05140	43.5539	8.00463	26.0034	27.3029
AT1G05200	22.2536	6.94198	6.25974	11.2088
AT1G05210	5.13123	15.5433	12.2441	10.8523
AT1G05220	0.384761	10.236	0.527321	1.49338
AT1G05240	0.125752	47.3133	0.256737	0.367895
AT1G05240	1.18427	0.509223	1.71529	0.88257
AT1G05260	1.33417	179.95	9.26605	135.792
AT1G05320	9.47415	16.6168	14.3537	13.1039
AT1G05330	0.351384	0.158912	1.67191	0.224286
AT1G05360	10.3273	17.1956	25.6378	17.052
AT1G05380	12.1335	18.4287	17.1986	14.607
AT1G05400	0.528391	2.11642	1.02369	0.819158
AT1G05420	1.45515	0.994956	4.20742	4.57771
AT1G05450	0.0674679	1.35548	29.3094	0.906259
AT1G05500	23.6869	35.0748	31.2497	39.3433
AT1G05510	0.0347923	2.701	0.0824784	0.177971
AT1G05540	2.18616	0.419843	16.3159	11.6819
AT1G05590	9.90613	9.51076	12.4528	13.1459
AT1G05600	6.03693	3.80707	5.5054	4.1324
AT1G05620	13.2208	40.1027	23.0766	21.2583
AT1G05630	7.16439	4.08536	9.69921	4.53282
AT1G05690	3.53121	2.26226	2.80534	2.3701
AT1G05700	0.253768	14.3987	0.0337324	0.0113337
AT1G05710	3.25106	32.7142	28.6602	12.7439
AT1G05730	1.52122	4.19386	4.61026	4.84057
AT1G05740	0.0426572	0.054596	0.097175	0.0140788
AT1G05750	2.85357	2.79899	2.84742	2.31957
AT1G05780	7.61667	8.5706	8.02292	11.0672
AT1G05785,AT1G05790	18.0057	25.3517	23.1291	21.2117
AT1G05800	0	0.00366767	0	0.00783742
AT1G05805	31.5988	23.5771	11.1861	14.4697
AT1G05810	8.09914	12.6757	4.29672	10.0188
AT1G05820	2.18655	2.04702	8.55152	3.25257
AT1G05830	16.3141	17.1937	15.4673	11.3123
AT1G05835	32.3601	3.88748	71.4918	4.43105
AT1G05860	8.65292	8.19475	10.4649	9.63031
AT1G05880	0.00671084	0.487993	0.00326216	0
AT1G05890	33.5932	56.2427	28.0322	17.3348
AT1G05894	0.248543	0.644614	0.514067	0.279972
AT1G05900	16.2945	8.36696	13.8693	11.3128
AT1G05910	7.70101	13.7082	13.8676	11.5039
AT1G05920	0	0	0.55054	0
AT1G05930	0	0	0.383	0
AT1G05980	0	0	0	0
AT1G05990	0	0.659886	0.0160404	0.0671516
AT1G06010	16.4281	22.6289	28.3599	26.0869
AT1G06020	0.204295	0.356004	0.98035	0.766574
AT1G06030	0.0267528	0.439752	0.910675	0.902002
AT1G06060	22.6219	19.9174	18.4363	16.646
AT1G06080	22.8556	15.478	28.1695	4.67407
AT1G06090	1.34992	48.0068	2.75273	2.12441
AT1G06100	2.74343	0.0143711	0.499748	0.0514121
AT1G06120	0.0455275	6.72443	0.0951445	0.0746516
AT1G06135	0	0.011696	0	0
AT1G06140	0.654127	1.46333	0.74123	0.601236
AT1G06160	2.0818	2.38588	0.110253	0.347224
AT1G06180	6.1974	9.62666	7.08607	0.798115
AT1G06210	14.4765	26.5596	33.5746	24.0681
AT1G06220	24.3303	30.9008	31.0432	23.6807
AT1G06225	0	0.200192	0	0.17376
AT1G06230	25.0635	31.5861	29.598	21.1255
AT1G06240	11.6216	5.60835	10.9324	11.19
AT1G06260	1.0414	0.601796	63.7091	0.943303
AT1G06290,AT1G06310	46.1855	78.2207	63.9067	39.6722
AT1G06320	0	2.36355	0.812598	0.344822
AT1G06380	5.77058	7.82238	8.44917	6.22845
AT1G06390	46.9339	51.3515	50.1709	42.8593
AT1G06410	57.4516	56.5925	50.7938	41.7222
AT1G06420	3.0573	3.96859	34.2774	11.7252
AT1G06450	3.30817	3.18151	8.11184	5.63922
AT1G06470	15.7144	22.0908	16.0237	27.5225
AT1G06480	0	0	0	0
AT1G06490	1.58188	4.30132	2.57226	1.73745
