Gene_id	log2(7h+DEX/7h-DEX)	log2(25h+DEX/25h-DEX)	log2(gdu1-1D/WT)	log2(GDU2/WT)	log2(GDU5/WT)	log2(GDU6/WT)
AT5G04440	-0.105094	-0.00929792	-0.20489	-0.0747959	-0.651921	-0.127442
AT5G05960	0.529352	0.98066	0.663391	0.849769	0.119129	0.935711
AT5G06210	-0.0632291	-0.100406	-0.349341	-0.27958	-0.695067	-0.240505
AT5G06220	-0.0632291	-0.100406	-0.349341	-0.27958	-0.695067	-0.240505
AT5G10050	-0.0698347	0.0356207	-0.232225	-0.209756	-0.540942	0.0595851
AT5G14880	0.128846	0.281604	0.0912771	-0.0405382	-0.528265	-0.0617519
AT5G14890	0.128846	0.281604	0.0912771	-0.0405382	-0.528265	-0.0617519
AT5G15630	0.0771607	0.436947	-0.0619451	0.257554	-0.566708	0.254611
AT5G16010	-0.0252789	0.184353	-0.251276	-0.28824	-0.657818	0.095612
AT5G20220	-0.14923	0.07452	-0.221706	-0.334669	-0.768602	-0.353138
AT1G20620	-0.247399	-0.0673648	-0.0479013	-0.0835834	-0.598791	-0.122123
AT5G42270	0.00294629	0.0758855	-0.320365	-0.169009	-0.851238	-0.153481
AT5G42390	0.0334389	0.0117021	-0.177701	-0.0941011	-0.635996	-0.108108
AT5G42980	0.0450432	0.20689	-0.1716	-0.046971	-0.638578	-0.156282
AT5G43330	-0.0626389	0.322867	-0.0701202	-0.0074153	-0.496378	-0.0874119
AT5G52030	0.0750952	0.00895654	-0.164438	-0.256549	-0.752638	-0.0672021
AT5G54770	-0.0524518	-0.0328158	-0.267907	-0.0612013	-0.775431	-0.00717853
AT5G55630	-0.0829849	0.046676	-0.033364	0.0394543	-0.525881	-0.0347131
AT5G58140	0.161453	0.33014	0.00284469	0.149698	-0.47753	0.111785
AT5G59250	0.0509005	0.0714689	-0.263536	-0.223346	-0.565634	0.156391
AT5G59750	-0.120492	-0.00694753	-0.39652	-0.476422	-0.962181	-0.277877
AT5G60600	-0.0169773	0.153907	-0.202904	-0.0861218	-0.775959	0.0980411
AT5G60850	0.313092	0.505574	0.348349	0.216248	-0.28283	0.481853
AT5G61670	0.0241773	0.344204	-0.0711109	-0.208118	-0.634061	-0.0483302
AT5G65480	0.0335142	0.22031	0.113356	0.0220588	-0.514653	0.195557
AT5G01220	-0.051899	0.0156446	-0.394218	-0.409302	-0.743322	-0.265235
AT5G07250	0.126078	0.334829	0.0598515	0.103781	-0.442386	0.320256
AT5G08370	0.0296458	0.0498552	0.0229215	0.115308	-0.595813	-0.0245593
AT5G08720	0.00424453	0.0257268	-0.343683	-0.367263	-0.795155	-0.2417
AT5G08740	0.00916811	-0.0589206	-0.221638	-0.266049	-0.622382	-0.044267
AT5G09660	-0.0165952	0.104866	-0.23707	-0.156443	-0.875356	0.0401116
AT5G11840	-0.00446196	0.0827774	-0.154864	-0.145954	-0.747222	-0.0853295
AT5G12140	0.0820554	0.303888	-0.158868	-0.0877392	-0.47062	-0.0317632
AT5G12150	0.0211234	-0.00568848	-0.301073	-0.141873	-0.679677	-0.130699
AT5G16990	0.0381897	0.405951	-0.10656	-0.077202	-0.676255	-0.0666498
AT5G18760	0.0735741	0.112646	-0.122006	-0.0473485	-0.59898	0.205188
AT5G19855	-0.0132847	0.0852682	-0.135643	-0.274756	-0.526086	-0.0529494
AT5G20140	-0.16607	-0.173195	-0.368009	-0.270133	-0.850809	-0.21154
AT2G38060	-0.000190954	0.294612	-0.178254	-0.174477	-0.672145	-0.154397
AT5G22620	-0.0186029	0.000267117	-0.347779	-0.311179	-0.846018	-0.197706
AT5G23440	-0.0760383	0.114281	-0.245626	-0.217073	-0.6005	-0.121747
AT5G37360	0.0762853	0.447188	-0.0500943	0.00804617	-0.72473	0.182016
AT5G37500	-0.28921	-0.0724846	-0.501987	-0.429826	-0.745331	-0.417095
AT5G38510	-0.0746573	0.260725	0.0736692	0.184792	-0.51499	0.12433
AT5G38580	0.114076	0.0785698	-0.174408	-0.241437	-0.510799	-0.0833246
AT5G38590	0.114076	0.0785698	-0.174408	-0.241437	-0.510799	-0.0833246
AT5G38650	-0.120141	0.0153096	-0.167778	-0.200901	-0.585751	-0.103949
AT5G38660	-0.120141	0.0153096	-0.167778	-0.200901	-0.585751	-0.103949
AT5G42030	0.0260995	0.19226	0.0104306	-0.00775401	-0.382568	0.18907
AT5G43750	-0.0985759	-0.163511	-0.304449	-0.220186	-0.904823	-0.123526
AT5G44410	-0.031044	0.0914392	-0.0851014	-0.0942848	-0.644293	-0.0940002
AT5G44510	-0.0873855	-0.0662253	-0.257203	-0.13956	-0.802685	0.0396458
AT5G44520	-0.0873855	-0.0662253	-0.257203	-0.13956	-0.802685	0.0396458
AT5G45170	-0.0738879	-0.0532914	-0.32611	-0.27355	-0.804014	-0.215662
AT5G45350	0.0596493	0.00349143	-0.283794	-0.160808	-0.743809	-0.233255
AT5G47540	-0.0887856	-0.0711018	-0.273331	-0.0942211	-0.857158	-0.262238
AT5G48880	-0.00037545	0.476025	-0.168591	0.0342689	-0.63731	0.0754358
AT5G49660	0.271836	0.297466	-0.113077	-0.0516964	-0.53468	-0.0649679
AT5G50720	0.35726	0.660898	0.67498	0.375032	-0.31407	0.620734
AT5G51020	-0.039761	-0.0141498	-0.173017	-0.139895	-0.700935	0.00411664
AT5G57040	0.0237211	0.235214	-0.0112527	-0.0251252	-0.619312	0.367877
AT5G58870	0.0298661	0.0642881	-0.0834231	-0.12051	-0.596335	-0.110788
AT5G58970	0.0797766	0.0396105	-0.224235	-0.237702	-0.500692	-0.0908725
AT5G58980	0.0797766	0.0396105	-0.224235	-0.237702	-0.500692	-0.0908725
AT5G64280	0.0569392	0.349627	0.0744564	0.187535	-0.270672	0.249098
AT5G64840	0.0816697	0.203642	-0.104849	-0.26302	-0.646844	-0.0611098
AT5G65590	0.122036	0.115152	0.0227276	-0.251483	-0.467679	0.183141
AT5G65840	0.0711626	0.318045	0.0653141	0.150331	-0.56065	0.230697
AT5G66190	-0.108954	0.0404855	-0.262344	-0.180815	-0.853774	-0.0848677
AT1G01970	-0.100579	-0.411362	-0.201904	-0.0097288	-0.610556	-0.11832
AT1G02145	-0.0635876	-0.342553	-0.428713	-0.171121	-0.574195	-0.19281
AT1G02150	-0.0635876	-0.342553	-0.428713	-0.171121	-0.574195	-0.19281
AT1G02560	-0.0973276	-0.164768	-0.274301	-0.134385	-0.514631	-0.0666794
AT1G03160	-0.032287	-0.0852123	-0.197307	-0.0763172	-0.456747	0.158149
AT1G03630	-0.0761235	-0.207585	-0.435122	-0.112172	-0.781819	-0.0786133
AT1G03687	-0.105292	-0.253662	-0.558716	-0.168826	-0.543182	-0.300575
AT1G03930	-0.0307203	-0.342355	-0.382614	-0.172471	-0.892205	-0.191588
AT1G04420	-0.143045	-0.307346	-0.489237	-0.147149	-0.808353	-0.0191868
AT1G04640	-0.140937	-0.169208	-0.173302	-0.0487444	-0.547755	0.00743694
AT1G04940	-0.137413	-0.42448	-0.464567	-0.154377	-0.579538	-0.290768
AT1G04945	-0.137413	-0.42448	-0.464567	-0.154377	-0.579538	-0.290768
AT1G05140	-0.0384856	-0.108493	-0.153037	-0.0850271	-0.650103	-0.0714274
AT1G07320	-0.129209	-0.456584	-0.675678	-0.367289	-0.787029	-0.329754
AT1G08520	-0.0427306	-0.338688	-0.492903	-0.273279	-0.674597	-0.142303
AT1G08540	-0.118834	-0.369147	-0.524618	-0.277693	-0.743876	-0.210031
AT1G09580	-0.0528605	-0.195253	-0.580257	-0.23585	-0.694827	-0.241843
AT1G09710	0.0356608	-0.189757	-0.435382	-0.108338	-0.653602	0.0306039
AT1G10910	-0.00538549	-0.435479	-0.345221	-0.0495645	-0.559642	-0.0465817
AT1G11750	-0.165153	-0.304341	-0.456689	-0.206823	-0.687434	-0.189973
AT1G11870	-0.124514	-0.333549	-0.478438	-0.247095	-0.685142	-0.312073
AT1G12250	-0.000564867	-0.127832	-0.168068	-0.0725228	-0.52088	0.199281
AT1G13820	0.00871172	-0.275878	-0.538657	-0.236403	-0.786806	0.0301723
AT1G14580	-0.0208579	-0.291636	-0.281503	-0.00172685	-0.61057	-0.0635479
AT1G15180	0.0237771	-0.16834	-0.353901	-0.0646891	-0.475398	0.0140129
AT1G16020	0.0569159	-0.130291	-0.239778	-0.0265895	-0.71053	-0.190928
AT1G16430	-0.130426	-0.302544	-0.286808	0.0269102	-0.594462	-0.19179
AT1G17220	-0.0545916	-0.263906	-0.273554	-0.191532	-0.672229	-0.13269
AT1G18485	0.0321709	-0.368018	-0.18986	0.0470256	-0.55136	-0.0357648
AT1G20810	-0.210659	-0.427524	-0.529834	-0.272542	-1.02419	-0.2499
AT1G20816	-0.275258	-0.411802	-0.661829	-0.38987	-1.00282	-0.47313
AT1G22630	-0.0849512	-0.11532	-0.182123	-0.208693	-0.67352	0.0302319
AT1G24340	0.193409	-0.0527466	-0.297981	-0.193762	-0.483125	0.0203421
AT1G25290	-0.0105215	-0.30865	-0.329656	-0.142215	-0.649774	0.0149422
AT1G26650	0.0205889	-0.00921296	-0.236615	-0.158149	-0.518914	-0.0559855
AT1G27480	-0.097417	-0.136217	-0.11953	0.0240359	-0.79072	-0.022664
AT1G27950	-0.117429	-0.162948	-0.442616	-0.23505	-0.610938	-0.213457
AT1G29070	-0.172617	-0.494435	-0.709368	-0.328473	-0.789913	-0.23062
AT1G31800	-0.139934	-0.242105	-0.418673	-0.256734	-0.903834	-0.28414
AT1G32990	-0.181061	-0.519889	-0.648954	-0.33538	-0.859541	-0.244991
AT1G33810	-0.143736	-0.4509	-0.527107	-0.200876	-0.790141	-0.159086
AT1G34844	-0.0895317	-0.311109	-0.144377	-0.303759	-0.785072	-0.1481
AT1G35340	-0.0683313	-0.297524	-0.262583	-0.198043	-0.637945	-0.0825223
AT1G35420	0.0437497	-0.00496081	-0.155324	-0.0569593	-0.485086	0.335336
AT1G35680	-0.194118	-0.563449	-0.628919	-0.350858	-0.705019	-0.225854
AT1G36320	-0.0957461	-0.294674	-0.386316	-0.207458	-0.554652	-0.0580879
AT1G42550	0.0976111	0.146858	-0.147612	-0.0140945	-0.443614	0.133485
AT1G43670	-0.115985	-0.0430115	-0.133397	-0.0600633	-0.616679	0.180555
AT1G45201	0.174655	-0.0174218	-0.0747257	0.395515	-0.254493	0.34867
AT1G48350	-0.183851	-0.531378	-0.634437	-0.319992	-0.767411	-0.215177
AT1G48520	-0.0757092	-0.455936	-0.561693	-0.309852	-0.74739	-0.22484
AT1G49380	-0.0447427	-0.247071	-0.322339	0.014931	-0.72891	0.104553
AT1G49975	-0.063534	-0.361206	-0.321023	-0.198479	-0.785907	0.0106257
AT1G50900	-0.158125	-0.357503	-0.461629	-0.260053	-0.778436	-0.158363
AT1G51100	-0.337414	-0.349974	-0.413254	-0.120548	-0.854561	-0.291632
AT1G51110	-0.16754	-0.130408	-0.364742	-0.218489	-0.755941	0.0249856
AT1G53840	0.154006	0.0588242	-0.0347133	0.0175682	-0.345407	0.271254
AT1G54310	-0.17729	-0.540174	-0.668878	-0.253239	-0.725942	-0.415624
AT1G54820	0.0782491	-0.0970796	-0.0888132	-0.0289111	-0.601523	-0.0096081
AT1G57770	-0.184692	-0.392405	-0.491064	-0.316096	-0.760353	-0.301158
AT1G59840	-0.0494973	-0.43302	-0.305854	-0.028792	-0.669149	-0.061288
AT1G62914	-0.00256761	-0.0982299	-0.163705	-0.0537812	-0.397962	0.108834
AT1G62920	-0.00256761	-0.0982299	-0.163705	-0.0537812	-0.397962	0.108834
AT1G62930	-0.0554881	-0.425099	-0.396279	-0.164973	-0.522963	-0.155658
AT1G63680	0.0286645	-0.135633	-0.214409	-0.00498408	-0.357254	0.156125
AT1G63690	0.0286645	-0.135633	-0.214409	-0.00498408	-0.357254	0.156125
AT1G65295	-0.0763105	-0.359199	-0.296402	-0.107058	-0.753313	-0.239044
AT1G66820	-0.243846	-0.281741	-0.275096	0.0109897	-0.750552	-0.11876
AT1G67700	-0.160523	-0.28012	-0.497228	-0.303427	-0.908195	-0.0653174
AT1G68540	-0.0750312	0.0605915	-0.194428	0.033614	-0.543461	0.239132
AT1G70670	0.132179	0.00258734	-0.261468	-0.16211	-0.59747	-0.0954435
AT1G70940	0.190135	0.0946601	0.119906	0.116863	-0.368941	0.446056
AT1G71720	-0.153772	-0.418665	-0.396223	-0.0787358	-0.662665	-0.168647
AT1G73060	-0.145275	-0.269007	-0.455739	-0.17371	-0.847762	-0.117569
AT1G73570	0.0859555	-0.24604	-0.221058	0.0106683	-0.516717	-0.253316
AT1G73875	-0.169082	-0.253153	-0.336232	-0.126285	-0.71834	0.0331226
AT1G73880	-0.169082	-0.253153	-0.336232	-0.126285	-0.71834	0.0331226
AT1G73885	-0.169082	-0.253153	-0.336232	-0.126285	-0.71834	0.0331226
AT1G73990	0.00450283	-0.238211	-0.172338	-0.16802	-0.568311	-0.198268
AT1G75350	-0.169906	-0.366925	-0.470217	-0.269889	-0.759228	-0.131334
AT1G78010	-0.029226	-0.368716	-0.442587	-0.260363	-0.641697	-0.346486
AT1G78180	-0.00800603	-0.33399	-0.418633	-0.198767	-0.628926	-0.132576
AT1G78630	-0.22994	-0.519029	-0.593426	-0.321813	-0.648378	-0.206571
AT1G79870	0.0362067	0.028721	-0.106167	0.093233	-0.378287	0.220071
AT1G01080	-0.134775	-0.505076	-0.685578	-0.225468	-0.985651	-0.233265
AT1G01860	-0.0909747	-0.442611	-0.519988	-0.197222	-0.807669	-0.0592229
AT1G02910	-0.091643	-0.25301	-0.335185	-0.249156	-0.590519	-0.16666
AT1G03680	-0.0776733	-0.12604	-0.326821	-0.139049	-0.745361	0.0241498
AT1G05190	-0.180079	-0.532994	-0.553161	-0.362917	-0.775755	-0.260963
AT1G05850	0.0559276	-0.0911176	-0.317665	-0.122895	-0.691784	-0.0286963
AT1G06690	-0.142041	-0.370356	-0.415102	-0.197879	-0.864149	-0.319505
AT1G06820	-0.0811904	-0.194159	-0.368749	-0.13796	-0.642773	-0.151995
AT1G07110	0.0260922	-0.0885367	-0.204723	-0.167508	-0.649521	0.0859794
AT1G08640	-0.192403	-0.365645	-0.56303	-0.289112	-0.761355	-0.407649
AT1G09440	-0.156101	-0.270379	-0.455856	-0.325738	-0.748432	-0.361939
AT1G12500	-0.0276937	-0.311334	-0.368737	-0.194344	-0.779338	-0.307077
AT1G12700	0.243089	-0.0670882	-0.199245	-0.065842	-0.535589	0.0181331
AT1G12800	-0.101998	-0.337762	-0.520033	-0.329333	-0.871575	-0.305637
